Arzal,"2025-04-18 15:34:06"
Kourou,"2025-04-18 17:22:00"
Kourou,"2025-04-18 17:22:08"
Bagnolet,"2025-04-18 17:34:53"
Amfreville-sous-les-Monts,"2025-04-18 17:35:31"
Auvers-sur-Oise,"2025-04-18 18:04:54"
L'Île-Saint-Denis,"2025-04-18 18:17:51"
Aulnay-sur-Mauldre,"2025-04-18 18:18:04"
Arthies,"2025-04-18 18:18:37"
Caurel,"2025-04-18 18:20:42"
Angivillers,"2025-04-18 19:14:50"
"Le Moule","2025-04-18 19:15:08"
"Le Moule","2025-04-18 19:15:10"
Saint-Barthélemy,"2025-04-18 19:15:11"
Saint-Joseph,"2025-04-18 19:20:59"
Aouste,"2025-04-18 19:39:20"
Antheny,"2025-04-18 19:39:28"
Apremont,"2025-04-18 19:40:33"
Arcis-sur-Aube,"2025-04-18 19:44:46"
" Arcis-sur-Aube","2025-04-18 19:44:49"
" Arcis-sur-Aube","2025-04-18 19:44:53"
Amance,"2025-04-18 19:45:17"
" Amance","2025-04-18 19:45:18"
"Le Robert","2025-04-18 19:45:59"
Aubencheul-au-Bac,"2025-04-18 19:45:59"
" Le Robert","2025-04-18 19:46:02"
" Le Robert","2025-04-18 19:47:34"
eragny,"2025-04-18 19:48:46"
eragny,"2025-04-18 19:48:59"
" eragny","2025-04-18 19:49:02"
Berny-Rivière,"2025-04-18 19:52:07"
Berny-Rivière,"2025-04-18 19:56:56"
Aouste,"2025-04-18 20:00:56"
Aouste,"2025-04-18 20:00:59"
Aisy-sous-Thil,"2025-04-18 20:03:50"
Armissan,"2025-04-18 20:10:30"
Macouria,"2025-04-18 20:57:38"
